Month,Year,Return,,,,,
9,1896,0.0563,,,,,
10,1896,-0.0042,,,,,
11,1896,0.0411,,,,,
12,1896,-0.0333,,,,,
1,1897,0.0328,,,,,
2,1897,-0.0061,,,,,
3,1897,0.0058,,,,,
4,1897,-0.0132,,,,,
5,1897,0.0237,,,,,
6,1897,0.0500,,,,,
7,1897,0.0478,,,,,
8,1897,0.0217,,,,,
9,1897,0.0217,,,,,
10,1897,-0.0155,,,,,
11,1897,-0.0323,,,,,
12,1897,0.0245,,,,,
1,1898,0.0303,,,,,
2,1898,-0.0132,,,,,
3,1898,-0.0422,,,,,
4,1898,-0.0141,,,,,
5,1898,-0.0015,,,,,
6,1898,0.1154,,,,,
7,1898,0.0213,,,,,
8,1898,0.0403,,,,,
9,1898,0.0010,,,,,
10,1898,-0.0180,,,,,
11,1898,0.0361,,,,,
12,1898,0.0501,,,,,
1,1899,0.0789,,,,,
2,1899,0.0119,,,,,
3,1899,0.0167,,,,,
4,1899,0.0012,,,,,
5,1899,-0.0393,,,,,
6,1899,-0.0331,,,,,
7,1899,0.0237,,,,,
8,1899,0.0148,,,,,
9,1899,-0.0455,,,,,
10,1899,-0.0144,,,,,
11,1899,0.0092,,,,,
12,1899,-0.0767,,,,,
1,1900,0.0164,,,,,
2,1900,0.0090,,,,,
3,1900,0.0111,,,,,
4,1900,0.0159,,,,,
5,1900,-0.0209,,,,,
6,1900,-0.0146,,,,,
7,1900,-0.0090,,,,,
8,1900,0.0296,,,,,
9,1900,-0.0122,,,,,
10,1900,-0.0080,,,,,
11,1900,0.0399,,,,,
12,1900,0.0953,,,,,
1,1901,0.0843,,,,,
2,1901,0.0414,,,,,
3,1901,0.0387,,,,,
4,1901,0.1003,,,,,
5,1901,-0.0478,,,,,
6,1901,0.1025,,,,,
7,1901,-0.0761,,,,,
8,1901,0.0042,,,,,
9,1901,-0.0142,,,,,
10,1901,-0.0083,,,,,
11,1901,0.0121,,,,,
12,1901,-0.0248,,,,,
1,1902,0.0368,,,,,
2,1902,0.0116,,,,,
3,1902,0.0043,,,,,
4,1902,0.0249,,,,,
5,1902,-0.0113,,,,,
6,1902,-0.0146,,,,,
7,1902,0.0256,,,,,
8,1902,0.0418,,,,,
9,1902,-0.0065,,,,,
10,1902,-0.0921,,,,,
11,1902,-0.0030,,,,,
12,1902,-0.0308,,,,,
1,1903,0.0426,,,,,
2,1903,-0.0028,,,,,
3,1903,-0.0033,,,,,
4,1903,-0.0376,,,,,
5,1903,0.0069,,,,,
6,1903,-0.0517,,,,,
7,1903,-0.0282,,,,,
8,1903,-0.0421,,,,,
9,1903,-0.0313,,,,,
10,1903,-0.0170,,,,,
11,1903,0.0194,,,,,
12,1903,0.0502,,,,,
1,1904,-0.0030,,,,,
2,1904,-0.0453,,,,,
3,1904,0.0120,,,,,
4,1904,0.0403,,,,,
5,1904,0.0057,,,,,
6,1904,0.0053,,,,,
7,1904,0.0452,,,,,
8,1904,0.0255,,,,,
9,1904,0.0357,,,,,
10,1904,0.0621,,,,,
11,1904,0.0336,,,,,
12,1904,0.0128,,,,,
1,1905,0.0248,,,,,
2,1905,0.0469,,,,,
3,1905,0.0430,,,,,
4,1905,-0.0093,,,,,
5,1905,-0.0354,,,,,
6,1905,0.0147,,,,,
7,1905,0.0343,,,,,
8,1905,0.0283,,,,,
9,1905,0.0176,,,,,
10,1905,0.0169,,,,,
11,1905,-0.0139,,,,,
12,1905,0.0160,,,,,
1,1906,0.0374,,,,,
2,1906,-0.0044,,,,,
3,1906,-0.0216,,,,,
4,1906,-0.0107,,,,,
5,1906,-0.0344,,,,,
6,1906,0.0161,,,,,
7,1906,0.0109,,,,,
8,1906,0.0528,,,,,
9,1906,0.0223,,,,,
10,1906,-0.0247,,,,,
11,1906,-0.0117,,,,,
12,1906,-0.0165,,,,,
1,1907,-0.0148,,,,,
2,1907,-0.0485,,,,,
3,1907,-0.0850,,,,,
4,1907,0.0089,,,,,
5,1907,-0.0507,,,,,
6,1907,-0.0379,,,,,
7,1907,0.0427,,,,,
8,1907,-0.0707,,,,,
9,1907,-0.0060,,,,,
10,1907,-0.1132,,,,,
